Current_Customer,CompanyID,Founded_Year,Revenue_(in_000s_USD),Revenue_Range_(in_USD),Est_Marketing_Department_Budget_(in_000s_USD),Est_Finance_Department_Budget_(in_000s_USD),Est_IT_Department_Budget_(in_000s_USD),Est_HR_Department_Budget_(in_000s_USD),Employees,Employee_Range,Past_1_Year_Employee_Growth_Rate,Past_2_Year_Employee_Growth_Rate,SIC_Code_1,SIC_Code_2,SIC_Codes,NAICS_Code_1,NAICS_Code_2,NAICS_Codes,Primary_Industry,Primary_Sub-Industry,All_Industries,All_Sub-Industries,Industry_Hierarchical_Category,Secondary_Industry_Hierarchical_Category,Alexa_Rank,Ownership_Type,Business_Model,Certified_Active_Company,Certification_Date,Total_Funding_Amount_(in_000s_USD),Recent_Funding_Amount_(in_000s_USD),Recent_Funding_Round,Recent_Funding_Date,Recent_Investors,All_Investors,Company_City,Company_State,Company_Zip_Code,Company_Country,Number_of_Locations,Company_Is_Acquired
Y,62637459,1912,28365155,Over $5 bil.,2212482,212738,1162971,71278,50000,Employees.10000plus,-0.9,1.4,6719,6411,63;633;6331;639;6399;64;641;6411;635;6351;67;671;6719,524298,524210,52;524;5242;52429;524298;52421;524210;5241;52412;524126;524128,Insurance,,Insurance;Holding Companies & Conglomerates,,insurance,,7488,Private,B2B,Yes,13-Aug-23,0,0,,,,,Boston,Massachusetts,2116,United States,44,
Y,44322135,1930,13929992,Over $5 bil.,1128329,208949,515409,54121,37965,Employees.10000plus,0,0,7375,4899,48;483;4833;482;4822;481;4812;4813;73;737;7375;489;4899,561920,517810,51;517;5178;51781;517810;5171;51711;517111;516;5161;51612;56;561;5619;56192;561920;517112;5173;51731;517312,Telecommunications,"Internet Service Providers, Website Hosting & Internet-related Services",Telecommunications;Business Services,"Internet Service Providers, Website Hosting & Internet-related Services;Custom Software & IT Services;Telephony & Wireless",telecom,telecom.internet,16066,Private,B2B,Yes,19-May-23,0,0,,,,,Monroe,Louisiana,71203,United States,25,
Y,32394811,2004,58038010,Over $5 bil.,7486903,580380,1625064,98182,60923,Employees.10000plus,42.5,0,7379,7374,27;274;2741;73;737;7379;7374,519130,518210,51;513;5132;51321;513210;518;5182;51821;518210;519;5191;51913;519130,Media & Internet,Social Networks,Media & Internet,Social Networks,media,media.social,3,Private,B2B,Yes,8-Aug-23,18100200,16007000,Stock Issuance/Offering,18-May-12,Undisclosed,Jim Breyer;Accel Partners;Digital Sky Technologies;Horizons Ventures;TriplePoint Capital;European Founders Fund;Peter Thiel;Li Ka-shing;Elevation Partners;Goldman Sachs;Digital Sky Technologies;Greylock Partners;Peter Thiel;Meritech;Accel Partners;Undisclosed;Oakhouse Partners,Menlo Park,California,94025,United States,21,
Y,27181208,1997,31615550,Over $5 bil.,4110021,316155,1675624,29427,12800,Employees.10000plus,-0.1,-1,7841,7812,78;784;7841;781;7812;48;484;4841;27;274;2741,532282,516210,53;532;5322;53228;532282;51;513;5131;51319;513199;512;5121;51211;512110;516;5162;51621;516210,Media & Internet,Broadcasting,Media & Internet;Retail,"Broadcasting;Other Rental Stores (Furniture, A/V, Construction & Industrial Equipment);Publishing",media,media.broadcasting,29,Public,B2B,Yes,21-Sep-23,16745105,1000000,Debt,23-Apr-20,Undisclosed,Undisclosed;Undisclosed;Undisclosed;T. Rowe Price;Technology Crossover Ventures;Undisclosed;Stephen Kahn;WS Investments;Steven J. Rosston;Institutional Venture Partners;John Mark Box;Undisclosed;Undisclosed;Reed Hastings;WS Investment;Undisclosed;Lehman Brothers Inc.;Undisclosed;Institutional Venture Partners;Technology Crossover Ventures;Foundation Capital;Thomas Weisel Partners;U.S. Bancorp Piper Jaffray;Merrill Lynch & Co.;Undisclosed;Undisclosed;WS Investment Company;Comdisco Inc.;Institutional Venture Partners;Technology Crossover Ventures;Foundation Capital;Undisclosed;Technology Crossover Ventures;Foundation Capital;Undisclosed;Undisclosed,Los Gatos,California,95032,United States,20,
Y,68799582,2009,70000775,Over $5 bil.,5670062,1050011,2590028,67952,26000,Employees.10000plus,0.3,-0.9,6719,3999,28;286;2865;29;299;2999;281;2819;39;399;3999;67;671;6719;13;131;1311,551112,325998,32;325;3251;32511;325110;324;3241;32419;324199;32518;325180;3259;32599;325998;55;551;5511;55111;551112,Manufacturing,Chemicals & Related Products,Manufacturing;Holding Companies & Conglomerates,Chemicals & Related Products,mfg,mfg.chemicals,333596,Private,B2B,Yes,20-Sep-23,450704,450704,Other Financing Round,1-Jan-14,,,London,Greater London,SW1X 0LZ,United Kingdom,22,
Y,491442528,2019,17062000,Over $5 bil.,1382022,255930,631294,103705,46000,Employees.10000plus,0,0,7389,7379,73;737;7379;34;349;3499;36;366;3669;367;3679;738;7389;7374,541519,518210,54;541;5415;54151;541519;33;332;3325;33251;332510;334;3342;33429;334290;3344;33441;334419;51;518;5182;51821;518210,Manufacturing,Aerospace & Defense,Manufacturing;Business Services;Software,Aerospace & Defense;Custom Software & IT Services;Electronics;Security Software;Telecommunication Equipment,mfg,mfg.aerospace,130547,Public,B2B,Yes,22-Sep-23,2250000,2250000,Debt,22-Nov-22,J.P. Morgan Asset Management,J.P. Morgan Asset Management,Melbourne,Florida,32919,United States,53,
Y,7503938,1979,7003221,Over $5 bil.,917421,70032,238109,63124,28000,Employees.10000plus,0,0,7379,7374,73;737;7373;7372;7379;7374,541512,541511,54;541;5415;54151;541511;51;513;5132;51321;513210;541512;518;5182;51821;518210,Software,Healthcare Software,Software,Healthcare Software,software,software.health,40589,Public,B2B,Yes,24-May-23,250,250,Stock Issuance/Offering,5-Dec-86,"Kidder, Peabody & Co.;Alex Brown & Sons","Kidder, Peabody & Co.;Alex Brown & Sons",Kansas City,Missouri,64117,United States,25,Yes
Y,18796172,1981,12200000,Over $5 bil.,951600,91500,658800,29936,21000,Employees.10000plus,20.1,40.1,7379,7374,27;271;2711;73;737;7374;7379;274;2741,551112,518210,51;516;5162;51621;516210;518;5182;51821;518210;512;5121;51219;512191;513;5131;51319;513199;55;551;5511;55111;551112,Media & Internet,Publishing,Media & Internet,Publishing,media,media.publishing,1103,Private,B2B,Yes,9-May-23,0,0,,,,,New York City,New York,10022,United States,24,
Y,89440718,1973,15889000,Over $5 bil.,1239342,119167,651449,8566,3800,Employees.1000to4999,-0.9,6.6,6733,6399,63;632;6324;635;6351;639;6399;67;673;6733;636;6361;6321,525190,524130,52;524;5241;52411;524114;524113;52412;524128;52413;524130;525;5251;52519;525190,Insurance,,Insurance,,insurance,,377442,Public,B2C,Yes,13-Sep-23,225000,225000,Stock Issuance/Offering,17-Dec-01,,,Chesterfield,Missouri,63017,United States,18,
Y,190857276,2005,6109779,Over $5 bil.,494892,91646,226061,15795,11080,Employees.10000plus,0,0,7389,7379,48;489;4899;73;737;7379;738;7389;7374;481;4813,518210,517919,51;517;5178;51781;518;5182;51821;518210;517810;5179;51791;517919,Telecommunications,"Internet Service Providers, Website Hosting & Internet-related Services",Telecommunications,"Internet Service Providers, Website Hosting & Internet-related Services",telecom,telecom.internet,59228,Private,B2B,Yes,15-Sep-23,690625,250000,Debt,29-Nov-22,,,Little Rock,Arkansas,72212,United States,39,
Y,77939460,1885,4110010,$1 bil. - $5 bil.,205500,41100,78090,99196,44000,Employees.10000plus,0,0,8999,8748,87;873;8734;73;738;7389;874;8748;89;899;8999;36;367;3679,541990,541618,54;541;5419;54199;541990;5416;54161;541618;5413;54138;541380;33;334;3345;33451;334515,Business Services,,Business Services,Management Consulting;Research & Development,bizservice,,103824,Public,B2B,Yes,25-Sep-23,494900,4400,Unspecified,8-Nov-10,NYSERDA,NYSERDA,London,Greater London,W1G 0PS,United Kingdom,25,
Y,20467876,1969,7518000,Over $5 bil.,984858,75180,263130,58616,26000,Employees.10000plus,3.9,13,7389,7379,73;737;7379;738;7389;7374,541519,518210,51;518;5182;51821;518210;54;541;5415;54151;541519,Business Services,Custom Software & IT Services,Business Services,Custom Software & IT Services,bizservice,bizservice.techconsulting,105218,Public,B2B,Yes,22-Sep-23,0,0,,,,,Reston,Virginia,20190,United States,125,
Y,61949294,1968,15589000,Over $5 bil.,1262709,233835,576793,67633,30000,Employees.10000plus,0,0,7379,7374,73;737;7372;48;489;4899;7374;7379;481;4813,541519,518210,54;541;5415;54151;541519;51;517;5171;51711;517112;518;5182;51821;518210;516;5162;51621;5173;51731;517311,Telecommunications,"Internet Service Providers, Website Hosting & Internet-related Services",Telecommunications,"Internet Service Providers, Website Hosting & Internet-related Services",telecom,telecom.internet,51745,Public,B2B,Yes,22-Sep-23,0,0,,,,,Monroe,Louisiana,71203,United States,22,Yes
Y,13206029,1998,7263105,Over $5 bil.,951466,72631,254208,27272,12097,Employees.10000plus,0,0,7374,7371,73;737;7374;7371,541511,518210,51;518;5182;51821;518210;54;541;5415;54151;541511,Business Services,Custom Software & IT Services,Business Services,Custom Software & IT Services,bizservice,bizservice.techconsulting,55009,Public,B2B,Yes,20-Sep-23,240000,240000,Stock Issuance/Offering,10-Aug-00,,,Redwood City,California,94065,United States,30,
Y,20054213,1935,6048900,Over $5 bil.,471814,45366,326640,19413,8611,Employees.5000to9999,1.7,4.6,6799,6726,67;679;6799;672;6722;63;637;6371;62;628;6289;6726;60;609;6099,525990,525910,52;525;5259;52599;525990;523;5239;52394;523940;52591;525910;5231;52315;523150;52399;523991,Finance,Investment Banking,Finance,Investment Banking,finance,finance.investment,63906,Public,B2B,Yes,15-Sep-23,0,0,,,,,Atlanta,Georgia,30309,United States,50,
Y,6178232,1884,13700000,Over $5 bil.,685000,137000,260300,36636,25700,Employees.10000plus,0,0,8711,3532,16;162;1623;1629;35;353;3532;87;871;8711;49,541330,237990,23;237;2371;23711;237110;2379;23799;237990;54;541;5413;54133;541330;23712;237120;236;2362;23621;236210,Construction,Civil Engineering Construction,Construction;Minerals & Mining,"Civil Engineering Construction;Architecture, Engineering & Design",construction,construction.civil,90153,Private,B2B,Yes,27-Sep-23,0,0,,,,,Omaha,Nebraska,68102,United States,87,
Y,37831131,1966,8712327,Over $5 bil.,705698,130684,322356,45089,20000,Employees.10000plus,0.1,-1.2,4899,4813,48;481;4813;489;4899,517810,517311,51;517;5171;51711;517111;517112;5178;51781;517810;5173;51731;517311,Telecommunications,Telephony & Wireless,Telecommunications,Telephony & Wireless,telecom,telecom.telephone,75419,Public,B2B,Yes,7-Aug-23,0,0,,,,,Solna,Stockholm,169 79,Sweden,4,
Y,13780132,1962,8400267,Over $5 bil.,680421,126004,310809,31055,21785,Employees.10000plus,2.2,2.2,7375,4899,48;484;4841;482;4822;489;4899;73;737;7375,517810,517311,51;517;5171;51711;517111;5178;51781;517810;517112;5173;51731;517311,Telecommunications,Telephony & Wireless,Telecommunications,"Telephony & Wireless;Cable & Satellite;Internet Service Providers, Website Hosting & Internet-related Services",telecom,telecom.telephone,2707,Private,B2C,Yes,19-Sep-23,500000,500000,Other Financing Round,23-Sep-02,Cascade Investment,Cascade Investment,Atlanta,Georgia,30328,United States,37,
Y,18241240,1980,26659434,Over $5 bil.,2159414,399891,986399,225446,100000,Employees.10000plus,0,0,4899,4841,48;489;4899;481;4813;484;4841,541512,517810,51;517;5178;51781;517810;54;541;5415;54151;541512,Telecommunications,Telephony & Wireless,Telecommunications,Telephony & Wireless,telecom,telecom.telephone,1449,Public,B2B,Yes,5-Sep-23,1420,1420,Stock Issuance/Offering,7-Nov-08,Sekunjalo Group,Sekunjalo Group,London,Greater London,E1 8EE,United Kingdom,11,
Y,2903082,1998,3661094,$1 bil. - $5 bil.,479603,36610,135460,22093,9800,Employees.5000to9999,12.9,20.7,7389,7379,73;737;7373;738;7389;7371;7379;7374;7372,541512,541511,54;541;5415;54151;541512;51;518;5182;51821;518210;541511;513;5132;51321;513210,Software,Security Software,Software,Security Software,software,software.security,26804,Public,B2B,Yes,1-Sep-23,234000,234000,Stock Issuance/Offering,28-Oct-99,,,Cambridge,Massachusetts,2142,United States,27,
Y,345500334,1996,7148655,Over $5 bil.,579041,107229,264500,45646,20247,Employees.10000plus,3.4,2.2,4899,4812,48;481;4812;489;4899,517810,517312,51;517;5171;51711;517112;5178;51781;517810;5173;51731;517312,Telecommunications,"Internet Service Providers, Website Hosting & Internet-related Services",Telecommunications,"Internet Service Providers, Website Hosting & Internet-related Services;Telephony & Wireless",telecom,telecom.internet,8322,Public,B2B,Yes,10-May-22,1374160,1374160,Stock Issuance/Offering,17-Jul-03,,,Taipei,,,Taiwan,2,
Y,483828705,2006,7055734,Over $5 bil.,924301,70557,261062,40628,28500,Employees.10000plus,0,0,7379,7373,73;737;7373;7379,541519,541512,54;541;5415;54151;541519;541512,Software,Business Intelligence (BI) Software,Software,Business Intelligence (BI) Software;Security Software;Storage & System Management Software,software,software.bi,82554,Private,B2B,Yes,8-Jun-23,0,0,,,,,Issy-les-Moulineaux,Ile-de-France,92130,France,12,
Y,50466149,1998,1396704,$1 bil. - $5 bil.,113133,20950,51678,4989,3500,Employees.1000to4999,0,0,4899,4841,48;481;4813;489;4899;4812;484;4841;482;4822,517810,517312,51;517;5171;51711;517111;517112;5178;51781;517810;5173;51731;517312,Telecommunications,"Internet Service Providers, Website Hosting & Internet-related Services",Telecommunications,"Internet Service Providers, Website Hosting & Internet-related Services",telecom,telecom.internet,392506,Private,B2B,Yes,5-Sep-23,59500,59500,Stock Issuance/Offering,15-Apr-05,,,Mc Lean,Virginia,22102,United States,39,
Y,346149199,2009,975241,$500 mil. - $1 bil.,125806,9752,27306,7252,3217,Employees.1000to4999,0,0,7379,7373,73;737;7373;7371;7372;7379,561621,541512,54;541;5415;54151;541511;51;518;5182;51821;518210;541512;513;5132;51321;513210;56;561;5616;56162;561621,Software,Networking Software,Software,Networking Software,software,software.network,1745,Public,B2B,Yes,18-Sep-23,1457050,1125000,Stock Issuance/Offering,17-Aug-21,,Venrock;Pelion Venture Partners;Fidelity;Baidu;Venrock;Union Square Ventures;Microsoft Accelerator;Pelion Venture Partners;Qualcomm Ventures;CapitalG;Greenspring Associates;Franklin Templeton Investments;Venrock;New Enterprise Associates;Pelion Venture Partners;Venrock;Union Square Ventures;Pelion Venture Partners;Greenspring Associates,San Francisco,California,94107,United States,9,
Y,28262557,1996,1470361,$1 bil. - $5 bil.,192617,14703,54403,9978,7000,Employees.5000to9999,0,0,7389,7379,73;738;7389;737;7371;7379;7372;7374,541519,541511,51;513;5132;51321;513210;54;541;5415;54151;541511;541519;518;5182;51821;518210,Software,Business Intelligence (BI) Software,Software,Business Intelligence (BI) Software,software,software.bi,65615,Private,B2B,Yes,30-Aug-23,76500,76500,Stock Issuance/Offering,13-Apr-00,,,Burlington,Massachusetts,1803,United States,32,Yes
Y,27003689,1994,6986000,Over $5 bil.,565866,104790,258482,11272,5000,Employees.5000to9999,0,0,7375,4899,73;737;7375;48;481;4813;489;4899,517311,51781,51;517;5178;51781;5173;51731;517311,Telecommunications,Telephony & Wireless,Telecommunications,Telephony & Wireless,telecom,telecom.telephone,715650,Public,B2B,Yes,23-Aug-23,23052832,900000,Debt,1-Aug-19,,"Berkshire Partners;Edward C. Hutcheson, Jr.;Centennial Ventures;Ted B. Miller, Jr.;Prime VIII, L.P.;Berkshire Partners Group;Harvard Private Capital Holdings;Centennial Ventures;Fay Richwhite;Nassau Group;J. Landis Martin;Berkshire Partners;Centennial Ventures;Nassau Capital;J. Landis Martin;Berkshire Partners;Edward C. Hutcheson, Jr.;Centennial Ventures;Robert F. McKenzie;Chase Securities Inc;Scotiabank;Key Corporate Capital;Credit Suisse First Boston",Houston,Texas,77024,United States,39,
Y,313065571,2008,1304318,$1 bil. - $5 bil.,105649,19564,48259,4276,3000,Employees.1000to4999,0,0,4899,4813,48;481;4813;36;367;3679;366;3663;33;335;3357;489;4899;3669,517312,517121,33;334;3342;33429;334290;51;517;5171;51712;517121;335;3359;33592;335921;33422;334220;5173;51731;517312,Telecommunications,"Internet Service Providers, Website Hosting & Internet-related Services",Telecommunications,"Internet Service Providers, Website Hosting & Internet-related Services",telecom,telecom.internet,897237,Private,B2B,Yes,26-Sep-23,5148565,150000,Debt,26-Feb-18,,CoBank;Hercules Technology Growth Capital;CIT Group;CoBank;Hercules Technology Growth Capital;CIT Group;Barclays Capital;RBC Capital Markets;SunTrust;Columbia Capital;Battery Ventures;M/C Venture Partners;Centennial Ventures;Greenspring Associates;Oak Investment Partners,Boulder,Colorado,80301,United States,36,
Y,25346393,1968,3032958,$1 bil. - $5 bil.,151647,30329,87955,11662,5173,Employees.5000to9999,0,0,3533,1389,13;138;1389;1382;35;353;3533,333132,213112,21;213;2131;21311;213112;33;333;3331;33313;333132,Manufacturing,Industrial Machinery & Equipment,"Manufacturing;Energy, Utilities & Waste",Industrial Machinery & Equipment;Oil & Gas Exploration & Services,mfg,mfg.industrialmachinery,765659,Public,B2B,Yes,29-Aug-23,0,0,,,,,Nihonbashi,Tokyo,103-0027,Japan,5,
Y,8274594,1837,6561011,Over $5 bil.,157464,65610,157464,28511,20000,Employees.10000plus,14.6,5.6,9199,9111,27;274;2741;91;919;9199;911;9111,921190,921110,92;921;9211;92111;921110;92119;921190,Government,Local,Government,Local,government,government.local,38210,Private,B2B,Yes,30-Aug-23,0,0,,,,,Houston,Texas,77002,United States,40,
Y,24412371,1999,687614,$500 mil. - $1 bil.,90077,6876,25441,3819,2679,Employees.1000to4999,-0.6,-1,7379,7374,73;737;7379;7372;7373;7374;7371,541519,541512,51;513;5132;51321;513210;54;541;5415;54151;541519;541512;541511;518;5182;51821;518210,Software,Healthcare Software,Software,Healthcare Software,software,software.health,689326,Private,B2B,Yes,25-Sep-23,88200,88200,Stock Issuance/Offering,25-Jun-09,,,New York City,New York,10014,United States,20,
Y,25743000,1967,513963,$500 mil. - $1 bil.,41631,7709,19016,4493,1993,Employees.1000to4999,0,0,3679,3669,36;366;3669;367;3679;3663,334290,334220,33;334;3342;33429;334290;33422;334220,Manufacturing,Telecommunication Equipment,Manufacturing,Telecommunication Equipment;Electronics,mfg,mfg.telecom,3483974,Public,B2B,Yes,19-Sep-23,150000,50000,Debt,2-Dec-22,Citi,White Hat Capital Partners;Citi,Melville,New York,11747,United States,30,
Y,57051791,1976,1995448,$1 bil. - $5 bil.,155644,14965,107754,15436,6847,Employees.5000to9999,0,0,8748,7389,73;737;7379;7372;7374;738;7389;60;609;6099;87;874;8748,541618,541519,51;518;5182;51821;518210;54;541;5415;54151;541512;513;5132;51321;513210;541519;52;522;5223;52239;522390;5416;54161;541618,Business Services,Custom Software & IT Services,Business Services;Finance;Software,Custom Software & IT Services;Credit Cards & Transaction Processing;Financial Software;Management Consulting,bizservice,bizservice.techconsulting,152643,Public,B2B,Yes,21-Sep-23,187425,180000,Debt,16-May-23,Truist,Truist,Monett,Missouri,65708,United States,49,
Y,25231738,1820,4900000,$1 bil. - $5 bil.,117600,49000,117600,87117,50000,Employees.10000plus,26,37.5,9199,9121,91;919;9199;912;9121,921120,92112,92;921;9211;92112;921120,Government,State,Government,State,government,government.state,3631,Private,B2B,Yes,8-Sep-23,0,0,,,,,Jefferson City,Missouri,65101,United States,56,
Y,15616792,1997,2731640,$1 bil. - $5 bil.,163898,27316,92875,22269,14100,Employees.10000plus,2,10.3,9441,8322,83;832;8322;82;829;8299;94;944;9441;822;8221,923130,624230,92;923;9231;92313;923130;62;624;6242;62423;624230;61;611;6116;61161;611610;6113;61131;611310,Education,Colleges & Universities,Education,Colleges & Universities,education,education.university,9334,Private,B2C,Yes,4-Oct-23,32262,4312,Grant,1-Apr-21,American Rescue Plan,National Institutes of Health;American Rescue Plan,New Brunswick,New Jersey,8901,United States,90,
Y,18319464,1894,1210000,$1 bil. - $5 bil.,98010,18150,44770,7214,3200,Employees.1000to4999,0,0,7375,4899,48;489;4899;481;4813;484;4841;73;737;7375,517810,517311,51;517;5178;51781;517810;5171;51711;517111;5173;51731;517311,Telecommunications,"Internet Service Providers, Website Hosting & Internet-related Services",Telecommunications,"Internet Service Providers, Website Hosting & Internet-related Services",telecom,telecom.internet,219524,Public,B2B,Yes,13-Jun-23,2628666,75000,Private Equity,7-Dec-21,Searchlight Capital Partners,JPMorgan Chase;Searchlight Capital Partners,Mattoon,Illinois,61938,United States,36,
