Current_Customer,CompanyID,Founded_Year,Company_HQ_Phone,Fax,Revenue_(in_000s_USD),Revenue_Range_(in_USD),Est_Marketing_Department_Budget_(in_000s_USD),Est_Finance_Department_Budget_(in_000s_USD),Est_IT_Department_Budget_(in_000s_USD),Est_HR_Department_Budget_(in_000s_USD),Employees,Employee_Range,Past_1_Year_Employee_Growth_Rate,Past_2_Year_Employee_Growth_Rate,SIC_Code_1,SIC_Code_2,SIC_Codes,NAICS_Code_1,NAICS_Code_2,NAICS_Codes,Primary_Industry,Primary_Sub-Industry,All_Industries,All_Sub-Industries,Industry_Hierarchical_Category,Secondary_Industry_Hierarchical_Category,Alexa_Rank,Ownership_Type,Business_Model,Certified_Active_Company,Certification_Date,Total_Funding_Amount_(in_000s_USD),Recent_Funding_Amount_(in_000s_USD),Recent_Funding_Round,Recent_Funding_Date,Recent_Investors,All_Investors,Company_City,Company_State,Company_Zip_Code,Company_Country,Number_of_Locations,Company_Is_Acquired
N,136118787,1993,(408) 486-2000,(408) 486-2200,26974000,Over $5 bil.,3290828,269740,539480,60870,27000,Employees.10000plus,-5.5,-5.5,7389,7379,36;367;3674;73;737;7379;738;7389;50;506;5065;7372;7373,541512,541511,33;334;3344;33441;334412;54;541;5415;54151;541511;3341;33411;334112;334111;541512;51;513;5132;51321;513210,Manufacturing,Computer Equipment & Peripherals,Manufacturing;Retail;Software,"Computer Equipment & Peripherals;Consumer Electronics & Computers Retail;Electronics;Engineering Software;Multimedia, Games & Graphics Software",mfg,mfg.computers,1538,Public,B2B,Yes,6-Sep-23,7367000,4000000,Share Placement,23-May-17,SoftBank,U.S. Pentagon;Undisclosed;SoftBank;Undisclosed;Undisclosed,Santa Clara,California,95051,United States,27,
N,345283492,1976,(425) 313-8100,(425) 313-8103,231028000,Over $5 bil.,28185416,2310280,4620560,685356,304000,Employees.10000plus,0,0,5511,5411,50;506;5064;53;539;5399;51;519;5199;509;5099;54;541;5411;55;551;5511,455211,441110,45;455;4552;45521;455211;42;423;4236;42362;423620;4239;42399;423990;424;4249;42499;424990;44;441;4411;44111;441110,Retail,"Department Stores, Shopping Centers & Superstores",Retail,"Department Stores, Shopping Centers & Superstores",retail,retail.departmentstore,361,Public,B2B,Yes,14-Jul-23,35200,35200,Stock Issuance/Offering,5-Dec-85,,,Issaquah,Washington,98027,United States,17,
N,37934049,1907,+44 2079341234,,479075284,Over $5 bil.,23953764,4790752,13893183,205471,91140,Employees.10000plus,0,0,4925,2819,49;492;4925;28;281;2819,457120,221210,45;457;4571;45712;457120;22;221;2212;22121;221210;21;211;2111;21113;211130,Retail,"Convenience Stores, Gas Stations & Liquor Stores",Retail,"Convenience Stores, Gas Stations & Liquor Stores",retail,retail.conveniencestore,13113,Public,B2B,Yes,21-Sep-23,0,0,,,,,London,Greater London,SE1 7NA,United Kingdom,38,
N,5358630,1909,+44 2074964000,+44 (0)20 7496 4630,285517123,Over $5 bil.,14275856,2855171,8279996,173763,67600,Employees.10000plus,0,0,6719,4939,67;671;6719;28;286;2865;49;492;4925;2869;493;4939;4923,325110,324110,32;325;3251;32511;325110;22;221;2212;22121;221210;324;3241;32411;324110;2211;22111;221112,"Energy, Utilities & Waste","Electricity, Oil & Gas","Energy, Utilities & Waste","Electricity, Oil & Gas",energy,energy.energy,23323,Public,B2B,Yes,22-Sep-23,517000,517000,Private Equity,16-Oct-20,The Universities Superannuation Scheme,The Universities Superannuation Scheme,London,Greater London,SW1Y 4PD,United Kingdom,35,
N,24231957,1833,(972) 446-4800,(780) 486-8708,284040000,Over $5 bil.,37209240,2840400,9657360,101450,45000,Employees.10000plus,0,0,8748,7379,50;504;5047;73;737;7372;87;874;8748;7374;7379;51;512;5122,541618,541519,42;423;4234;42345;423450;51;513;5132;51321;513210;516;5162;51621;518;5182;51821;518210;54;541;5416;54161;541618;5415;54151;541519;424;4242;42421;424210,Retail,"Vitamins, Supplements & Health Stores",Retail;Business Services;Software,"Vitamins, Supplements & Health Stores;Healthcare Software;Management Consulting",retail,retail.health,20521,Public,B2C,Yes,22-Sep-23,4502800,500000,Debt,7-Nov-22,TD,TD;Bank of America;Rock River Capital Partners;Winnebago Seed Fund,Irving,Texas,75039,United States,44,
N,43897815,1903,(313) 322-3000,(313) 845-6073,158057000,Over $5 bil.,12802617,2370855,5848109,390022,173000,Employees.10000plus,7.6,14.4,5511,3799,37;371;3714;35;358;3585;379;3799;351;3519;34;342;3429;55;551;5511,522220,512132,33;336;3361;33611;336110;52;522;5222;52222;522220;44;441;4413;44133;441330;3362;33621;336211;51;512;5121;51213;512132;333;3339;33392;333924;336111,Manufacturing,Motor Vehicles,Manufacturing,Motor Vehicles,mfg,mfg.car,2051,Public,B2B,Yes,19-Sep-23,10667500,7500,Grant,22-Feb-22,Michigan Strategic Fund,Michigan Strategic Fund;Ford,Dearborn,Michigan,48126,United States,500,
N,8110814,1982,(860) 226-6000,(860) 226-6741,180021000,Over $5 bil.,14041638,1350157,7380861,160743,71300,Employees.10000plus,0,0,6411,6324,63;631;6311;632;6324;6321;64;641;6411;62;621;6211,524210,524130,52;524;5241;52412;524128;52413;524130;52411;524114;524113;5242;52421;524210;523;5231;52315;523150,Insurance,,Insurance,,insurance,,2795,Public,B2B,Yes,14-Aug-23,0,0,,,,,Bloomfield,Connecticut,6002,United States,42,
N,1461214,1902,(312) 634-8100,(217) 424-5681,101556000,Over $5 bil.,12389832,1015560,2031120,90990,40360,Employees.10000plus,0,0,4731,4449,44;444;4449;20;207;2074;204;2041;2046;2075;47;473;4731,488510,444240,31;311;3112;31122;311225;31121;311211;44;444;4442;44424;444240;311224;48;488;4885;48851;488510,Agriculture,Crops,Agriculture;Manufacturing;Transportation,Crops;Food & Beverage;Freight & Logistics Services,agriculture,agriculture.crops,282024,Public,B2B,Yes,16-Mar-23,850000,850000,Debt,26-Aug-20,Undisclosed,Undisclosed,Chicago,Illinois,60601,United States,37,
N,9867169,2000,(610) 727-7000,(610) 727-3600,229666374,Over $5 bil.,28019297,2296663,4593327,116477,44000,Employees.10000plus,-2.9,-2.9,4731,473,47;473;4731,541614,424210,54;541;5416;54161;541614;42;424;4242;42421;424210,Business Services,Management Consulting,Business Services,Management Consulting,bizservice,bizservice.consulting,40436,Public,B2B,Yes,19-Sep-23,0,0,,,,,Conshohocken,Pennsylvania,19428,United States,35,
N,8590337,1927,(301) 380-3000,+49 711 22212599,20773000,Over $5 bil.,2388895,207730,540098,849932,377000,Employees.10000plus,0,0,7041,7021,70;701;7011;704;7041;67;671;6719;58;581;5812;702;7021,722511,721310,72;721;7211;72111;721110;722;7225;72251;722511;55;551;5511;55111;551112;7213;72131;721310,Hospitality,Lodging & Resorts,Hospitality;Holding Companies & Conglomerates,Lodging & Resorts;Restaurants,hospitality,hospitality.lodging,663,Public,B2B,Yes,11-Jul-23,500000,500000,Debt,20-Dec-15,Wells Fargo Bank,Wells Fargo Bank,Bethesda,Maryland,20814,United States,127,
N,297468076,1998,(650) 427-5000,(650) 475-5001,13400000,Over $5 bil.,1755400,134000,495800,86345,38300,Employees.10000plus,0,0,7379,7374,73;737;7371;7372;7374;7379,541519,541512,51;513;5132;51321;513210;54;541;5415;54151;541511;541512;518;5182;51821;518210;541519;511;5112;51121;511210,Software,Business Intelligence (BI) Software,Software,Business Intelligence (BI) Software;Customer Relationship Management (CRM) Software;Networking Software;Storage & System Management Software,software,software.bi,4964,Public,B2B,Yes,25-Sep-23,1316700,1053200,Stock Issuance/Offering,14-Aug-07,Undisclosed,VERITAS;Dell;Undisclosed;Intel Capital;Dell,Palo Alto,California,94304,United States,41,Yes
N,130203765,1852,(866) 249-3302,(415) 677-9075,73785000,Over $5 bil.,5755230,553387,3984390,555898,246577,Employees.10000plus,0,0,6712,6411,61;614;6141;62;621;6211;67;671;6712;64;641;6411;60;602;6022;616;6162;6029,523940,523910,52;523;5239;52394;523940;522;5221;52211;522110;5231;52315;523150;52391;523910,Finance,Banking,Finance,Banking,finance,finance.banking,173,Public,B2B,Yes,25-Sep-23,0,0,,,,,San Francisco,California,94163,United States,126,
N,3444162,1989,(800) 827-1000,(202) 495-5660,371510000,Over $5 bil.,8916240,3715100,8916240,528884,371000,Employees.10000plus,0,0,9451,945,94;945;9451,923140,92314,92;923;9231;92314;923140,Government,Federal,Government;Consumer Services,Federal;Childcare,government,government.federal,1191,Private,B2B,Yes,9-Oct-23,0,0,,,,,Washington,District of Columbia,20420,United States,198,
N,15712435,1892,(617) 443-3000,(203) 373-3131,80941000,Over $5 bil.,6556221,1214115,2994817,387767,172000,Employees.10000plus,0,0,3845,3842,36;369;3699;37;372;3724;38;384;3842;362;3621;3845,336412,335910,33;334;3345;33451;334510;335;3353;33531;335312;336;3364;33641;336412;3351;33513;335139;3359;33591;335910,Manufacturing,Industrial Machinery & Equipment,"Manufacturing;Energy, Utilities & Waste","Industrial Machinery & Equipment;Electricity, Oil & Gas;Electronics;Oil & Gas Exploration & Services",mfg,mfg.industrialmachinery,13908,Public,B2B,Yes,21-Sep-23,25700,6600,Grant,12-Oct-22,U.S. Department of Energy,U.S. Department of Energy;U.S. Department of Energy;ARPA-E;U.S. Department of Energy,Boston,Massachusetts,2111,United States,42,
N,13207636,1984,(408) 526-4000,(408) 853-3683,53161000,Over $5 bil.,6964091,531610,1966957,187796,83300,Employees.10000plus,29.3,33.1,7374,7372,36;366;3661;3669;73;737;7372;7374,518210,513210,33;334;3342;33421;334210;51;518;5182;51821;518210;513;5132;51321;513210;33429;334290;516;5162;51621,Manufacturing,Telecommunication Equipment,Manufacturing;Business Services,Telecommunication Equipment;Custom Software & IT Services,mfg,mfg.telecom,2273,Public,B2B,Yes,2-Sep-23,50000,50000,Stock Issuance/Offering,16-Feb-90,Undisclosed,Undisclosed,San Jose,California,95134,United States,237,
N,7258303,1984,,(314) 725-2065,144547000,Over $5 bil.,18935657,1445470,4914598,158595,67200,Employees.10000plus,8.4,8.4,6411,6324,64;641;6411;63;632;6321;6324,524298,524114,52;524;5241;52411;524114;5242;52429;524298,Insurance,,Insurance,,insurance,,92895,Public,B2B,Yes,8-Mar-23,49000,49000,Stock Issuance/Offering,12-Dec-01,,,St. Louis,Missouri,63105,United States,22,
N,55727016,1910,+81 332581111,(81)356340299,83919503,Over $5 bil.,6797479,1258792,3105021,830199,368247,Employees.10000plus,28.7,-5.7,3714,3429,21;24;31;28;37;371;3714;34;342;3429,541330,336390,33;334;3344;33441;334419;54;541;5413;54133;541330;3341;33411;334112;335;3352;33522;335220;336;3363;33632;336320;33639;336390,Manufacturing,Electronics,Manufacturing,Electronics,mfg,mfg.electronics,132156,Public,B2B,Yes,25-Sep-23,0,0,,,,,Chiyoda-ku,Tokyo,100-8280,Japan,33,
N,104333869,2003,(512) 516-8177,(650) 681-5101,74863000,Over $5 bil.,6063903,1122945,2769931,288244,127855,Employees.10000plus,0,0,5511,5012,75;753;50;501;5012;37;371;3711;3714;55;551;5511;49;491;4911,811111,441330,22;221;2211;22111;221114;33;336;3361;33611;336110;44;441;4411;44111;441110;4413;44133;441330;81;811;8111;81111;811111;42;423;4231;42311;423110;336111,Manufacturing,Motor Vehicles,"Manufacturing;Energy, Utilities & Waste;Retail","Motor Vehicles;Automobile Dealers;Automotive Parts;Electricity, Oil & Gas",mfg,mfg.car,1868,Public,B2B,Yes,18-Sep-23,13763790,2000000,Stock Issuance/Offering,13-Feb-20,Larry Ellison;Elon Musk,Elon Musk;Undisclosed;Elon Musk;Larry Ellison;Elon Musk;Fjord Capital Partners;Daimler;Aabar;Marc Tarpenning;Martin Eberhard;VantagePoint Venture Partners;Elon Musk;Daimler;Undisclosed;Tao LLC;Capricorn Management;JP Morgan Bay Area Equity Fund;Sergey Brin;VantagePoint Venture Partners;Larry Page;Draper Fisher Jurveston;Elon Musk;Elon Musk;Toyota;Marc Tarpenning;Martin Eberhard;Elon Musk;Undisclosed;Undisclosed;U.S. Department of Energy;Tencent;California Energy Commission;Undisclosed;Undisclosed;Deutsche Bank;Blackstar Investco;Elon Musk;Compass Venture Partners;Technology Partners;Valor Equity Parnters;Capricorn Investment Group;JP Morgan Bay Area Equity Fund;VantagePoint Venture Partners;Elon Musk;Draper Fisher Jurvetson;Elon Musk;China Construction Bank;Shanghai Pudong Development Bank;Industrial and Commercial Bank of China;Agricultural Bank of China;Undisclosed;Panasonic;Undisclosed,Austin,Texas,78725,United States,24,
N,67421650,1977,(737) 867-1000,(905) 219-8450,42440000,Over $5 bil.,5559640,424400,1570280,383258,170000,Employees.10000plus,0,0,7389,7379,73;737;7374;7371;7372;738;7389;7379,541519,541511,54;541;5415;54151;541511;51;518;5182;51821;518210;541519;516;5162;51621;513;5132;51321;513210;511;5112;51121;511210,Business Services,Custom Software & IT Services,Business Services;Software,Custom Software & IT Services,bizservice,bizservice.techconsulting,1914,Public,B2B,Yes,17-Sep-23,15035900,4400,Debt,11-Aug-22,The Bank of Nova Scotia,The Bank of Nova Scotia,Austin,Texas,78741,United States,66,
N,36487399,1971,(206) 447-1575,(206) 318-3432,32250300,Over $5 bil.,4660168,419253,8062575,906294,402000,Employees.10000plus,27.5,36.3,5812,5499,54;549;5499;20;208;2087;51;514;5149;209;2099;545;5451;58;581;5812,722515,722514,31;311;3119;31192;311920;44;445;4452;44529;445298;72;722;7225;72251;722515;722514;722513,Hospitality,Restaurants,Hospitality;Manufacturing;Retail,Restaurants;Food & Beverage;Grocery Retail,hospitality,hospitality.restaurant,2240,Public,B2B,Yes,24-Sep-23,4025000,900000,Corporate Investment,9-Oct-18,Pershing Square Capital,Undisclosed;Bank of America;Pershing Square Capital;Undisclosed;Undisclosed,Seattle,Washington,98134,United States,18,
N,239305146,1999,(415) 901-7000,(415) 901-7040,31352000,Over $5 bil.,4107112,313520,1160024,178981,79390,Employees.10000plus,0,0,7389,7376,73;737;7372;7374;738;7389;7371;7373;7376,541519,541513,51;513;5132;51321;513210;518;5182;51821;518210;54;541;5415;54151;541511;541519;541512;541513;511;5112;51121;511210,Software,Customer Relationship Management (CRM) Software,Software,Customer Relationship Management (CRM) Software,software,software.crm,442,Public,B2B,Yes,26-Sep-23,110000,110000,Stock Issuance/Offering,22-Jun-04,,,San Francisco,California,94105,United States,87,
N,12227700,2000,(212) 270-6000,(44)20 7742 8719,128641000,Over $5 bil.,10033998,964807,6946614,669298,296877,Employees.10000plus,0,0,6799,6099,60;602;6029;6021;603;6036;609;6099;67;679;6799,523999,522320,52;522;5221;52211;522110;52218;522180;5223;52232;522320;523;5239;52399;523999,Finance,Banking,Finance,Banking,finance,finance.banking,51713,Public,B2C,Yes,19-Jul-23,0,0,,,,,New York City,New York,10017,United States,50,
N,60310227,1922,(781) 522-3000,(781) 522-3001,67074000,Over $5 bil.,5432994,1006110,2481738,410312,182000,Employees.10000plus,0,0,3769,3764,37;376;3764;3761;372;3728;3769;3721,541715,336414,54;541;5417;54171;541715;33;336;3364;33641;336412;336411;332;3325;33251;332510;336414,Manufacturing,Aerospace & Defense,Manufacturing;Business Services,Aerospace & Defense;Research & Development,mfg,mfg.aerospace,63920,Public,B2B,Yes,3-Oct-23,7500,7500,Grant,23-May-22,U.S. Department of Energy,U.S. Department of Energy,Arlington,Virginia,22209,United States,84,
N,38126010,1956,(781) 622-1000,+49 761 47805171,44915000,Over $5 bil.,3458455,449150,2111005,293080,130000,Employees.10000plus,16.1,47.2,8999,8731,38;382;3826;73;738;7389;89;899;8999;87;873;8731;3821;28;281;2819;3829,541990,541714,33;334;3345;33451;334516;334519;54;541;5419;54199;541990;5417;54171;541714;32;325;3259;32599;325998,Holding Companies & Conglomerates,,Holding Companies & Conglomerates;Business Services;Manufacturing,Research & Development;Test & Measurement Equipment,conglomerate,,10567,Public,B2B,Yes,22-Sep-23,0,0,,,,,Waltham,Massachusetts,2451,United States,54,
N,27722128,1964,(503) 671-6453,(503) 671-6300,49107000,Over $5 bil.,5991054,491070,982140,178328,79100,Employees.10000plus,0,0,3949,3021,39;394;3949;23;232;2322;2325;30;302;3021;238;2389;2329,424350,424340,42;423;4239;42391;423910;31;315;3152;31525;315250;424;4243;42434;424340;42435;424350;33;339;3391;33911;339115;3159;31599;315990;316;3162;31621;316210,Manufacturing,Textiles & Apparel,Manufacturing;Retail,Textiles & Apparel;Apparel & Accessories Retail;Sporting & Recreational Equipment Retail;Sporting Goods,mfg,mfg.clothes,231,Public,B2B,Yes,24-Sep-23,1009130,8770,Debt,27-Sep-19,Kreos Capital;Moffett Investment Holdings;Silicon Valley Bank;Fountain Healthcare Partners,Kreos Capital;Moffett Investment Holdings;Silicon Valley Bank;Fountain Healthcare Partners,Beaverton,Oregon,97005,United States,258,
N,234914216,1985,(858) 587-1121,(858) 658-2100,42958000,Over $5 bil.,3479598,644370,1589446,114977,51000,Employees.10000plus,1.2,-0.9,4899,3679,36;367;3679;3674;366;3669;48;489;4899,517312,517112,33;334;3342;33422;334220;33429;334290;3344;33441;334413;334419;51;517;5171;51711;517112;5173;51731;517312,Manufacturing,Electronics,Manufacturing;Telecommunications,"Electronics;Internet Service Providers, Website Hosting & Internet-related Services;Telecommunication Equipment",mfg,mfg.electronics,14601,Public,B2B,Yes,23-Aug-23,53000,53000,Stock Issuance/Offering,19-Dec-91,,,San Diego,California,92121,United States,22,
N,1114181,1939,(208) 395-6200,,76768100,Over $5 bil.,9365708,767681,1535362,653794,290000,Employees.10000plus,-0.8,0.4,5411,5141,54;541;5411;51;512;5122;514;5141,551112,456110,45;456;4561;45611;456110;44;445;4451;44511;445110;55;551;5511;55111;551112,Retail,Grocery Retail,Retail,Grocery Retail;Drug Stores & Pharmacies,retail,retail.grocery,520708,Public,B2B,Yes,1-Sep-23,4800000,4000000,Debt,29-Dec-21,,,Boise,Idaho,83706,United States,19,
N,412002344,1923,(818) 560-1000,(215) 553-5402,84415000,Over $5 bil.,10973950,844150,4473995,472836,171600,Employees.10000plus,0,0,7929,792,79;792;7929,711510,711190,45;455;4552;45521;455219;71;711;7111;71119;711190;7115;71151;711510,Hospitality,,Hospitality,Performing Arts Theaters,hospitality,,51909,Public,B2B,Yes,13-Jul-23,17000000,11000000,Debt,14-May-20,Undisclosed,Undisclosed,Burbank,California,91521,United States,206,
N,30245334,1849,(212) 733-2323,+91 44 61568790,100300000,Over $5 bil.,12236600,1003000,2006000,187120,83000,Employees.10000plus,0,0,8731,2835,28;283;2833;2834;2835;87;873;8731,541715,325412,32;325;3254;32541;325412;325411;54;541;5417;54171;541715,Manufacturing,Pharmaceuticals,Manufacturing;Business Services,Pharmaceuticals;Research & Development,mfg,mfg.pharmaceuticals,39237,Public,B2B,Yes,15-Sep-23,1250000,1250000,Debt,30-Mar-20,,,New York City,New York,10001,United States,38,
N,356818961,2012,(847) 932-7900,(847) 938-6291,58054000,Over $5 bil.,7082588,580540,1161080,112723,50000,Employees.10000plus,-2,-7.2,8731,2834,28;283;2834;87;873;8731,541714,325412,32;325;3254;32541;325412;54;541;5417;54171;541714,Manufacturing,Pharmaceuticals,Manufacturing;Business Services,Pharmaceuticals;Research & Development,mfg,mfg.pharmaceuticals,73982,Public,B2B,Yes,20-Mar-23,0,0,,,,,North Chicago,Illinois,60064,United States,15,
N,14155984,1973,(901) 818-7500,(901) 434-9279,94091000,Over $5 bil.,5645460,940910,2352275,739464,328000,Employees.10000plus,0,0,4731,4513,47;473;4731;42;421;4213;44;443;4432;441;4412;444;4449;449;4499;45;451;4513,492110,488510,48;488;4885;48851;488510;484;4841;48411;484110;48412;484121;4842;48423;484230;4883;48831;488310;483;4831;48311;483113;49;492;4921;49211;492110,Transportation,Freight & Logistics Services,Transportation,"Freight & Logistics Services;Airlines, Airports & Air Services;Marine Shipping & Transportation",transportation,transportation.freight,265,Public,B2B,Yes,18-Sep-23,18800,18800,Stock Issuance/Offering,12-Apr-78,,,Memphis,Tennessee,38120,United States,24,
